Site,Project,Project_Code,Stage,Site_Type,Resource_Oz_Au,Resource_Mt,Resource_Grade_gpt,Reserve_Oz_Au,Reserve_Mt,Reserve_Grade_gpt,Resource_Categories,Resource_Statuses,Estimate_Date,Distance_km,Nearest_FRS_Cluster,Dist_Edna_May_Mill_km,Dist_Lake_Johnston_Plant_km,Latitude,Longitude,Primary_Owner,All_Owners,N_Latest_Rows,N_Total_Historical
Christmas,Burbanks,J00069,Shut,Mine,2139,0.01,6.86,0,0,0.0,Resource,"Indicated, Inferred",14/06/2018,12.7,15,234.4,145.3,-31.024671,121.139625,FMR INVESTMENTS PTY LIMITED,FMR INVESTMENTS PTY LIMITED; Kidman Resources Limited (Royalties%); Horizon Minerals Limited (100.00%),2,2
Helens Find,Ubini,J04249,Undeveloped,Deposit,2025,0.02,3.15,0,0,0.0,Resource,Inferred,21/03/2012,8.8,15,216.6,146.5,-30.946877,120.93482,STEHN Anthony Paterson,STEHN Anthony Paterson (100.00%),1,1
Golf,Davyhurst,J00084,Shut,Mine,2006,0.048,1.3,1539,0.038,1.26,Resource,Indicated,30/06/2004,4.2,30,239.9,265.1,-29.824007,120.520609,Beacon Minerals Limited,"Beacon Minerals Limited; Siberia Mining Corporation Pty Ltd; Wesfarmers Chemicals, Energy & Fertilisers Limited; Carnegie Gold Pty Ltd; Ora Banda Mining Ltd (100.00%); Davyston Exploration Pty Ltd",1,2
Tailings,Mt Palmer Alluvials,J04849,Care and Maintenance,Infrastructure,1995,0.099,0.63,0,0,0.0,Resource,Inferred,28/07/2025,28.9,77,94.6,116.8,-31.409522,119.686274,Aurumin Mt Palmer Pty Ltd,Aurumin Mt Palmer Pty Ltd; Kula Gold Ltd (80.00%); Forrestania Resources Limited (20.00%),1,1
Black Jack East Laterite,Black Jack,J04148,Proposed,Mine,1985,0.042,1.47,0,0,0.0,Resource,Inferred,30/08/2011,8.4,29,286.3,279.8,-29.742961,121.07493,Duffy Michael,Duffy Michael (100.00%); BMGS Menzies Pty Ltd,1,1
Hickmans Find,Mt Monger,J04799,Proposed,Mine,1968,0.034,1.8,0,0,0.0,Resource,Inferred,28/03/1994,42.1,25,318.7,194.3,-31.059891,122.03589,Mt Monger Minerals Pty Ltd,Vox Royalty Australia Pty Ltd (Royalties%); Mt Monger Minerals Pty Ltd; Metallium Limited (100.00%); Dynamic Metals Limited; Evergold Minerals Limited; Trumpeter Resources Pty Ltd,1,1
Fuji,South Kalgoorlie Operations,J00276,Proposed,Mine,1945,0.03,2.02,0,0,0.0,Resource,"Indicated, Inferred",03/07/2006,39.6,15,262.5,160.0,-31.016437,121.436007,Black Mountain Gold Limited,Black Mountain Gold Limited; Northern Star Resources Ltd (100.00%); Northern Star (Klv) Pty Ltd; Northern Star (HBJ) Pty Ltd; Horizon Minerals Limited; Northern Star (South Kalgoorlie) Pty Ltd; Northern Star (Hampton Gold Mining Areas) Limited; Northern Star (Saracen Kalgoorlie) Pty Ltd,2,3
Possum,Coolgardie,J00014,Shut,Mine,1900,0.015,3.94,0,0,0.0,Resource,Inferred,31/07/2003,15.4,15,239.0,150.2,-30.993326,121.182612,Focus Minerals Ltd,Focus Minerals Ltd (100.00%); Connected Minerals Limited (Royalties%); Horizon Minerals Limited,1,1
Area 5,Kurnalpi,J03802,Undeveloped,Deposit,1874,0.053,1.1,0,0,0.0,Resource,Inferred,24/10/2018,29.0,25,343.5,242.2,-30.594859,122.203372,Kurnalpi Gold Pty Ltd,Kurnalpi Gold Pty Ltd (100.00%),1,1
South Dump,Menzies,J01011,Undeveloped,Deposit,1847,0.021,2.74,0,0,0.0,Resource,"Indicated, Measured",30/09/2006,12.9,29,285.0,282.2,-29.713736,121.030415,FMR INVESTMENTS PTY LIMITED,FMR INVESTMENTS PTY LIMITED; Brightstar Resources Limited (100.00%); Horizon Minerals Limited; Menzies Operational and Mining Pty Ltd; Bml Ventures Pty Ltd,3,6
Pleaides,South Kalgoorlie Operations,J00276,Shut,Mine,1846,0.025,2.32,0,0,0.0,Resource,"Indicated, Inferred, Measured",30/06/2016,46.6,25,278.0,170.0,-31.007017,121.599207,Black Mountain Gold Limited,Black Mountain Gold Limited; Northern Star Resources Ltd (100.00%); Northern Star (Klv) Pty Ltd; Northern Star (HBJ) Pty Ltd; Horizon Minerals Limited; Northern Star (South Kalgoorlie) Pty Ltd; Northern Star (Hampton Gold Mining Areas) Limited; Northern Star (Saracen Kalgoorlie) Pty Ltd,3,6
Lady Sherry,Menzies,J01011,Undeveloped,Deposit,1828,0.03,1.9,0,0,0.0,Resource,"Indicated, Inferred, Measured",30/09/2006,16.1,29,286.0,284.9,-29.686907,121.017919,FMR INVESTMENTS PTY LIMITED,FMR INVESTMENTS PTY LIMITED; Brightstar Resources Limited (100.00%); Horizon Minerals Limited; Menzies Operational and Mining Pty Ltd; Bml Ventures Pty Ltd,3,6
Resources Group,Lindsays,J01525,Undeveloped,Deposit,1793,0.064,0.87,0,0,0.0,Resource,Measured,20/07/2015,45.8,25,305.5,237.7,-30.333782,121.690813,Nu-Fortune Gold Ltd,Nu-Fortune Gold Ltd; Auric Mining Limited; Top Global Mining Pty Ltd (Royalties%); NBC Mining Pty Ltd (Royalties%); Lmg (WA) Pty Ltd,1,2
Glasson,Davyhurst,J00084,Shut,Mine,1768,0.01,5.5,0,0,0.0,Resource,Inferred,27/01/1994,33.7,30,219.9,228.4,-30.155917,120.570612,Beacon Minerals Limited,"Beacon Minerals Limited; Siberia Mining Corporation Pty Ltd; Wesfarmers Chemicals, Energy & Fertilisers Limited; Carnegie Gold Pty Ltd; Ora Banda Mining Ltd (100.00%); Davyston Exploration Pty Ltd",1,1
