Site,Project,Project_Code,Stage,Site_Type,Resource_Oz_Au,Resource_Mt,Resource_Grade_gpt,Reserve_Oz_Au,Reserve_Mt,Reserve_Grade_gpt,Resource_Categories,Resource_Statuses,Estimate_Date,Distance_km,Nearest_FRS_Cluster,Dist_Edna_May_Mill_km,Dist_Lake_Johnston_Plant_km,Latitude,Longitude,Primary_Owner,All_Owners,N_Latest_Rows,N_Total_Historical
Red Hill,Kanowna -Golden Valley,J00181,Shut,Mine,364538,6.297,1.8,271786,4.313,1.96,Resource,"Indicated, Inferred",30/06/2004,31.7,25,288.7,208.5,-30.596665,121.611207,Perilya Ltd,Perilya Ltd; Cove Mining NL; Northern Star Resources Ltd (100.00%); Northern Star (Klv) Pty Ltd (Royalties%); Northern Star (Kanowna) Pty Limited; Northern Star (Saracen Kalgoorlie) Pty Ltd (Royalties%),2,25
Sand King UG,Davyhurst,J00084,Operating,Mine,353288,3.909,2.81,87665,0.925,2.95,Resource,"Indicated, Inferred, Measured",01/07/2025,45.7,29,248.0,226.5,-30.211803,120.95994,Beacon Minerals Limited,"Beacon Minerals Limited; Siberia Mining Corporation Pty Ltd; Wesfarmers Chemicals, Energy & Fertilisers Limited; Carnegie Gold Pty Ltd; Ora Banda Mining Ltd (100.00%); Davyston Exploration Pty Ltd",3,12
Lady Shenton - Stirling,Menzies,J01011,Proposed,Mine,349437,8.074,1.35,0,0,0.0,Resource,"Indicated, Inferred",11/12/2025,14.0,29,285.6,283.2,-29.703376,121.02806,FMR INVESTMENTS PTY LIMITED,FMR INVESTMENTS PTY LIMITED; Brightstar Resources Limited (100.00%); Horizon Minerals Limited; Menzies Operational and Mining Pty Ltd; Bml Ventures Pty Ltd,2,23
Centenary,Kundana - White Flag,J00358,Shut,Mine,343672,1.843,5.8,0,0,0.0,Resource,Inferred,04/03/2015,35.6,15,250.9,181.4,-30.707032,121.237022,Evolution Mining Limited,Evolution Mining Limited (100.00%); Kundana Gold Pty Limited,1,6
Castle Hill,Mungari,J04814,Operating,Mine,342595,9.43,1.13,342595,9.43,1.13,Reserve,Probable,31/12/2021,31.1,16,234.7,182.1,-30.638218,121.033706,Evolution Mining Limited,Evolution Mining Limited (100.00%),1,1
Mulwarrie Central,Mulwarrie Central,J00268,Shut,Mine,341293,2.984,3.56,0,0,0.0,Resource,"Indicated, Inferred",04/08/2025,16.8,30,229.8,245.5,-30.001446,120.56251,Gorilla Gold Mines Ltd,Gorilla Gold Mines Ltd (100.00%); Orminex West Pty Ltd; Admiral Gold Pty Ltd,4,5
Rubicon,EKJV,J01718,Shut,Mine,341190,1.4,7.58,73873,0.391,5.88,Resource,"Indicated, Inferred",30/06/2003,33.7,15,252.0,178.5,-30.743549,121.260197,Rand Mining Limited,Rand Mining Limited (12.25%); TrIBune Resources Limited (36.75%); Evolution Mining Limited (51.00%); Gilt-Edged Mining NL; Evolution Mining (Mungari) Pty Ltd; Kundana Gold Pty Limited; Vox Royalty Australia Pty Ltd (Royalties%); Rand Exploration Nl,6,16
Kraken,Bullabulling,J00033,Undeveloped,Deposit,339512,8.8,1.2,0,0,0.0,Resource,"Indicated, Inferred",01/12/2025,13.4,15,212.4,136.0,-31.039101,120.909105,Norton Gold FIelds Pty Ltd,Jervois Mining Ltd (Royalties%); Norton Gold FIelds Pty Ltd; Franco-Nevada Australia Pty Ltd. (Royalties%); Bullabulling Operations Pty Ltd; Bullabulling Gold Pty Ltd; Zijin Mining Group; Vox Royalty Australia Pty Ltd (Royalties%); Minerals 260 Limited (100.00%); Belararox Limited; Minerals 260 Holdings Pty Ltd,2,3
Lady Ida,Lady Ida,J06689,Shut,Mine,336085,5.632,1.86,0,0,0.0,Resource,"Indicated, Inferred, Measured",20/06/2002,11.2,16,207.8,184.9,-30.554277,120.693308,Beacon Minerals Limited,Beacon Minerals Limited; Beacon Mining Pty Ltd; Lamerton Pty Ltd (100.00%); Geoda Pty Ltd,3,4
Barkers UG,Kundana - White Flag,J00358,Proposed,Mine,334130,2.277,4.56,0,0,0.0,Resource,"Indicated, Inferred, Measured",30/06/2000,34.9,15,250.2,180.8,-30.710939,121.230612,Evolution Mining Limited,Evolution Mining Limited (100.00%); Kundana Gold Pty Limited,3,3
Lindsays,Coolgardie,J00014,Care and Maintenance,Mine,314505,5.842,1.67,0,0,0.0,Resource,"Indicated, Inferred",30/06/2003,14.4,15,238.9,154.9,-30.942846,121.17171,Focus Minerals Ltd,Focus Minerals Ltd (100.00%); Connected Minerals Limited (Royalties%); Horizon Minerals Limited,2,6
Runway,8 Mile Dam,J05288,Undeveloped,Deposit,313919,7.014,1.39,0,0,0.0,Resource,Inferred,25/08/2017,44.4,25,273.5,196.8,-30.645288,121.462217,Kalgoorlie Consolidated Gold Mines Pty Ltd,Kalgoorlie Consolidated Gold Mines Pty Ltd (100.00%),1,1
Resources Group,Zuleika North - Ora Banda,J03563,Proposed,Mine,313213,5.15,1.89,0,0,0.0,Resource,"Indicated, Inferred",14/01/2015,45.5,16,250.4,199.3,-30.507725,121.152399,Evolution Mining Limited,Evolution Mining Limited (100.00%),2,10
Bonnie Vale,Coolgardie,J00014,Operating,Mine,310135,3.27,2.95,0,0,0.0,Resource,"Indicated, Inferred",26/09/2023,17.8,15,239.9,162.7,-30.862363,121.163269,Focus Minerals Ltd,Focus Minerals Ltd (100.00%); Connected Minerals Limited (Royalties%); Horizon Minerals Limited,7,19
Majestic,Kal East,J02818,Proposed,Mine,307721,6.493,1.47,0,0,0.0,Resource,"Indicated, Inferred",25/01/2022,22.6,25,311.9,200.4,-30.896363,121.939026,Silver Lake Resources Ltd,Silver Lake Resources Ltd; Black Cat (Bulong) Pty Ltd; Black Cat Syndicate Limited (100.00%),2,27
Axehandle,Marvel Loch - Southern Cross,J00226,Operating,Mine,299182,3.701,2.51,214484,2.712,2.46,Resource,"Indicated, Inferred, Measured",24/07/2016,9.9,77,66.7,143.1,-31.314946,119.400144,Minjar Gold Pty Ltd,"Newcrest Mining Limited (Royalties%); Adelong Gold Limited (Royalties%); Minjar Gold Pty Ltd; Royal Gold, Inc. (Royalties%); Barto Gold Mining Pty Ltd (100.00%); Shandong Tianye Group Bid Co Pty Ltd; International Royalty Corporation (Royalties%)",3,13
Bullfinch Group,Cygnet Gold,J06925,Shut,Mine,298262,2.56,3.62,129889,1.1,3.67,Resource,"Indicated, Inferred",30/06/2003,43.0,77,54.7,188.2,-30.976507,119.12591,China Hanking Holdings Limited,"Royal Gold, Inc. (Royalties%); China Hanking Holdings Limited; Barto Gold Mining Pty Ltd; Cygnet Gold Pty Ltd (100.00%); International Royalty Corporation (Royalties%)",4,24
Corinthia Pit,Corinthia,J04602,Proposed,Mine,297073,4.4,2.1,94073,1.54,1.9,Resource,"Indicated, Inferred",27/03/2020,25.7,77,53.7,170.0,-31.12464,119.221597,144 Pty Ltd,144 Pty Ltd; MPMG Pty Ltd; Goldlake Holdings Pty Ltd; Cygnet Gold Pty Ltd (100.00%),2,3
Xmas,Kundana - White Flag,J00358,Operating,Mine,289035,0.9,9.99,0,0,0.0,Resource,"Indicated, Inferred, Measured",31/12/2024,34.8,15,251.1,180.3,-30.719226,121.24251,Evolution Mining Limited,Evolution Mining Limited (100.00%); Kundana Gold Pty Limited,3,3
Strzelecki UG,Kundana - White Flag,J00358,Shut,Mine,285598,0.682,13.03,0,0,0.0,Resource,"Indicated, Inferred, Measured",30/06/2000,35.2,15,250.8,180.9,-30.711477,121.23701,Evolution Mining Limited,Evolution Mining Limited (100.00%); Kundana Gold Pty Limited,3,5
New Celebration,South Kalgoorlie Operations,J00276,Operating,Mine,276709,1.301,6.62,0,0,0.0,Resource,"Indicated, Inferred, Measured",30/06/2001,48.4,25,278.4,168.0,-31.034563,121.606586,Black Mountain Gold Limited,Black Mountain Gold Limited; Northern Star Resources Ltd (100.00%); Northern Star (Klv) Pty Ltd; Northern Star (HBJ) Pty Ltd; Horizon Minerals Limited; Northern Star (South Kalgoorlie) Pty Ltd; Northern Star (Hampton Gold Mining Areas) Limited; Northern Star (Saracen Kalgoorlie) Pty Ltd,3,8
Cornishman,Marvel Loch - Southern Cross,J00226,Operating,Mine,266128,1.589,5.21,1688,0.035,1.5,Resource,"Indicated, Inferred, Measured",24/07/2016,9.9,77,63.4,148.1,-31.280897,119.364396,Minjar Gold Pty Ltd,"Newcrest Mining Limited (Royalties%); Adelong Gold Limited (Royalties%); Minjar Gold Pty Ltd; Royal Gold, Inc. (Royalties%); Barto Gold Mining Pty Ltd (100.00%); Shandong Tianye Group Bid Co Pty Ltd; International Royalty Corporation (Royalties%)",3,23
Premier-Catherwood,Mungari,J04814,Proposed,Mine,260678,4.58,1.77,0,0,0.0,Resource,"Indicated, Inferred",14/01/2015,32.9,15,236.7,179.1,-30.675953,121.070223,Evolution Mining Limited,Evolution Mining Limited (100.00%),2,24
Magic South,Randalls - Mt Monger,J00251,Proposed,Mine,257232,1.912,4.18,0,0,0.0,Resource,"Indicated, Inferred, Measured",30/06/2016,38.1,25,309.7,189.2,-31.036499,121.938582,Vault Minerals Limited,Vault Minerals Limited (100.00%); Silver Lake (Integra) Pty Limited; Silver Lake Resources Ltd; Golden Mile Milling Pty Ltd,3,12
Fingals,Kal East,J02818,Operating,Mine,244297,3.377,2.25,0,0,0.0,Resource,"Indicated, Inferred",23/11/2021,30.7,25,306.7,191.7,-30.96945,121.896962,Silver Lake Resources Ltd,Silver Lake Resources Ltd; Black Cat (Bulong) Pty Ltd; Black Cat Syndicate Limited (100.00%),4,21
Gambia,Kalpini,J03265,Proposed,Mine,242905,4.146,1.82,0,0,0.0,Resource,"Indicated, Inferred",08/10/2012,32.1,25,325.8,243.6,-30.406004,121.946513,Horizon Minerals Limited,Horizon Minerals Limited (100.00%),2,8
Gimlet,Gimlet,J05443,Undeveloped,Deposit,239319,2.332,3.19,0,0,0.0,Resource,Inferred,23/06/2021,46.3,15,264.4,189.3,-30.682767,121.375287,FIrst Au Limited,FIrst Au Limited (100.00%),4,5
Centurion South,Binduli,J00019,Shut,Mine,233921,6.235,1.17,0,0,0.0,Resource,"Indicated, Inferred, Measured",05/05/2008,39.0,15,262.8,175.2,-30.839006,121.403712,Norton Gold FIelds Pty Ltd,Norton Gold FIelds Pty Ltd (100.00%); Bellamel Mining Ltd; Zijin Mining Group; Paddington Gold Pty LIMIted; Vox Royalty Australia Pty Ltd (Royalties%),3,5
Southern Stockworks,Boorara,J02851,Operating,Mine,228142,5.95,1.19,0,0,0.0,Resource,"Indicated, Inferred, Measured",25/01/2017,29.6,25,286.0,190.2,-30.80928,121.644094,Norton Gold FIelds Pty Ltd,Norton Gold FIelds Pty Ltd; Horizon Minerals Limited (100.00%); Paddington Gold Pty LIMIted,3,14
Waihi Central,Davyhurst,J00084,Operating,Mine,226852,2.754,2.56,0,0,0.0,Resource,"Indicated, Inferred",26/10/2023,23.8,30,232.6,241.6,-30.039418,120.635111,Beacon Minerals Limited,"Beacon Minerals Limited; Siberia Mining Corporation Pty Ltd; Wesfarmers Chemicals, Energy & Fertilisers Limited; Carnegie Gold Pty Ltd; Ora Banda Mining Ltd (100.00%); Davyston Exploration Pty Ltd",4,15
Portal,EKJV,J01718,Operating,Mine,225573,1.67,4.2,34867,0.249,4.36,Resource,"Indicated, Inferred, Measured",31/03/2021,33.7,15,252.0,178.5,-30.744021,121.260612,Rand Mining Limited,Rand Mining Limited (12.25%); TrIBune Resources Limited (36.75%); Evolution Mining Limited (51.00%); Gilt-Edged Mining NL; Evolution Mining (Mungari) Pty Ltd; Kundana Gold Pty Limited; Vox Royalty Australia Pty Ltd (Royalties%); Rand Exploration Nl,6,51
Res Group,Coolgardie,J00014,Shut,Mine,224628,3.327,2.1,0,0,0.0,Resource,Inferred,31/12/2014,15.4,15,239.9,154.8,-30.948137,121.183711,Focus Minerals Ltd,Focus Minerals Ltd (100.00%); Connected Minerals Limited (Royalties%); Horizon Minerals Limited,1,3
Red Dam,Broads Dam,J00353,Proposed,Mine,213622,3.09,2.15,0,0,0.0,Resource,"Indicated, Inferred",31/12/2015,33.4,16,238.3,192.4,-30.541046,121.031909,Evolution Mining Limited,"Evolution Mining Limited (100.00%); Royal Gold, Inc. (Royalties%); Tivan Limited (Royalties%)",2,16
Pegasus,EKJV,J01718,Operating,Mine,213423,1.093,6.07,97160,0.454,6.66,Resource,"Indicated, Inferred, Measured",31/03/2021,34.0,15,251.8,179.0,-30.737958,121.256862,Rand Mining Limited,Rand Mining Limited (12.25%); TrIBune Resources Limited (36.75%); Evolution Mining Limited (51.00%); Gilt-Edged Mining NL; Evolution Mining (Mungari) Pty Ltd; Kundana Gold Pty Limited; Vox Royalty Australia Pty Ltd (Royalties%); Rand Exploration Nl,5,44
Karonie Main Zone North,Aldiss - Karonie,J00184,Shut,Mine,211446,3.643,1.81,0,0,0.0,Resource,"Indicated, Inferred",30/06/2022,31.3,28,368.8,235.7,-31.03367,122.561017,MOTO GOLDMINES AUSTRALIA PTY LTD,MOTO GOLDMINES AUSTRALIA PTY LTD; Vault Minerals Limited (100.00%); Barrick Gold Corp.,2,26
Yunndaga Pit,Menzies,J01011,Shut,Mine,207044,3.095,2.08,0,0,0.0,Resource,"Indicated, Inferred",11/12/2025,8.6,29,284.2,278.8,-29.747536,121.050893,FMR INVESTMENTS PTY LIMITED,FMR INVESTMENTS PTY LIMITED; Brightstar Resources Limited (100.00%); Horizon Minerals Limited; Menzies Operational and Mining Pty Ltd; Bml Ventures Pty Ltd,2,10
Majestic UG,Kal East,J02818,Under Development,Mine,205964,1.397,4.59,0,0,0.0,Resource,"Indicated, Inferred",25/01/2022,22.6,25,311.9,200.4,-30.896597,121.938977,Silver Lake Resources Ltd,Silver Lake Resources Ltd; Black Cat (Bulong) Pty Ltd; Black Cat Syndicate Limited (100.00%),2,4
Marvel Loch,Marvel Loch - Southern Cross,J00226,Operating,Other,201039,2.317,2.7,11799,0.367,1.0,Resource,"Indicated, Inferred, Measured",30/06/2012,13.1,77,59.6,151.6,-31.272455,119.323905,Minjar Gold Pty Ltd,"Newcrest Mining Limited (Royalties%); Adelong Gold Limited (Royalties%); Minjar Gold Pty Ltd; Royal Gold, Inc. (Royalties%); Barto Gold Mining Pty Ltd (100.00%); Shandong Tianye Group Bid Co Pty Ltd; International Royalty Corporation (Royalties%)",3,73
Raleigh-Golden Hind U/G,EKJV,J01718,Operating,Mine,194490,0.927,6.53,0,0,0.0,Resource,"Indicated, Inferred, Measured",31/03/2021,34.1,15,250.9,179.5,-30.727556,121.243609,Rand Mining Limited,Rand Mining Limited (12.25%); TrIBune Resources Limited (36.75%); Evolution Mining Limited (51.00%); Gilt-Edged Mining NL; Evolution Mining (Mungari) Pty Ltd; Kundana Gold Pty Limited; Vox Royalty Australia Pty Ltd (Royalties%); Rand Exploration Nl,7,33
Pope John,Kundana - White Flag,J00358,Shut,Mine,191998,0.538,11.1,0,0,0.0,Resource,Inferred,04/03/2015,35.3,15,251.2,180.9,-30.713216,121.242213,Evolution Mining Limited,Evolution Mining Limited (100.00%); Kundana Gold Pty Limited,1,11
RES,EKJV,J01718,Operating,Mine,189959,1.201,4.92,87884,0.672,4.07,Resource,"Indicated, Inferred, Measured",31/03/2021,33.7,15,252.0,178.5,-30.744021,121.260612,Rand Mining Limited,Rand Mining Limited (12.25%); TrIBune Resources Limited (36.75%); Evolution Mining Limited (51.00%); Gilt-Edged Mining NL; Evolution Mining (Mungari) Pty Ltd; Kundana Gold Pty Limited; Vox Royalty Australia Pty Ltd (Royalties%); Rand Exploration Nl,5,55
Rumbles,Randalls - Mt Monger,J00251,Care and Maintenance,Mine,187458,2.411,2.42,63916,1.42,1.4,Resource,"Indicated, Inferred",30/06/2025,48.7,25,333.0,204.8,-31.068275,122.188277,Vault Minerals Limited,Vault Minerals Limited (100.00%); Silver Lake (Integra) Pty Limited; Silver Lake Resources Ltd; Golden Mile Milling Pty Ltd,2,22
Great Victoria,Marvel Loch - Southern Cross,J00226,Operating,Mine,184449,4.12,1.39,0,0,0.0,Resource,"Indicated, Inferred",31/12/2007,35.7,77,87.2,113.7,-31.544265,119.57371,Minjar Gold Pty Ltd,"Newcrest Mining Limited (Royalties%); Adelong Gold Limited (Royalties%); Minjar Gold Pty Ltd; Royal Gold, Inc. (Royalties%); Barto Gold Mining Pty Ltd (100.00%); Shandong Tianye Group Bid Co Pty Ltd; International Royalty Corporation (Royalties%)",2,7
Mungari West Group,Mungari,J04814,Proposed,Mine,181009,2.252,2.5,0,0,0.0,Resource,Inferred,20/06/2003,30.7,15,250.3,175.1,-30.773712,121.250613,Evolution Mining Limited,Evolution Mining Limited (100.00%),1,8
Gibraltar,Bullabulling,J00033,Shut,Mine,177311,5.4,1.02,0,0,0.0,Resource,"Indicated, Inferred",01/12/2025,10.9,15,216.9,136.3,-31.049676,120.958177,Norton Gold FIelds Pty Ltd,Jervois Mining Ltd (Royalties%); Norton Gold FIelds Pty Ltd; Franco-Nevada Australia Pty Ltd. (Royalties%); Bullabulling Operations Pty Ltd; Bullabulling Gold Pty Ltd; Zijin Mining Group; Vox Royalty Australia Pty Ltd (Royalties%); Minerals 260 Limited (100.00%); Belararox Limited; Minerals 260 Holdings Pty Ltd,2,5
Norris-Grosmont Group,Coolgardie,J00014,Shut,Mine,172585,2.44,2.2,0,0,0.0,Resource,Inferred,30/06/2013,10.1,15,230.9,143.5,-31.028877,121.103525,Focus Minerals Ltd,Focus Minerals Ltd (100.00%); Connected Minerals Limited (Royalties%); Horizon Minerals Limited,1,4
Broads Dam Group,Broads Dam,J00353,Proposed,Mine,171846,2.29,2.33,105307,1.59,2.06,Resource,"Indicated, Inferred",27/12/2013,39.2,16,243.9,191.9,-30.564262,121.104917,Evolution Mining Limited,"Evolution Mining Limited (100.00%); Royal Gold, Inc. (Royalties%); Tivan Limited (Royalties%)",2,13
Magic North,Randalls - Mt Monger,J00251,Proposed,Mine,168611,2.178,2.41,0,0,0.0,Resource,"Indicated, Inferred, Measured",30/06/2022,37.9,25,309.8,189.4,-31.034722,121.938686,Vault Minerals Limited,Vault Minerals Limited (100.00%); Silver Lake (Integra) Pty Limited; Silver Lake Resources Ltd; Golden Mile Milling Pty Ltd,3,6
Castle Hill Stage 3,Mungari,J04814,Proposed,Mine,168013,3.74,1.4,0,0,0.0,Resource,"Indicated, Inferred",31/12/2015,31.3,16,235.4,184.3,-30.616926,121.032809,Evolution Mining Limited,Evolution Mining Limited (100.00%),2,9
Transvaal-Southern Cross,Marvel Loch - Southern Cross,J00226,Care and Maintenance,Mine,162040,1.4,3.6,162040,1.4,3.6,Reserve,Probable,30/06/1997,13.3,77,59.4,151.8,-31.271345,119.322019,Minjar Gold Pty Ltd,"Newcrest Mining Limited (Royalties%); Adelong Gold Limited (Royalties%); Minjar Gold Pty Ltd; Royal Gold, Inc. (Royalties%); Barto Gold Mining Pty Ltd (100.00%); Shandong Tianye Group Bid Co Pty Ltd; International Royalty Corporation (Royalties%)",1,1
Bacall Central,Broads Dam,J00353,Undeveloped,Deposit,161869,2.53,1.99,0,0,0.0,Resource,Inferred,30/09/2011,40.0,16,244.5,190.9,-30.577319,121.117607,Evolution Mining Limited,"Evolution Mining Limited (100.00%); Royal Gold, Inc. (Royalties%); Tivan Limited (Royalties%)",1,1
Barbara - Surprise Group,South Kalgoorlie Operations,J00276,Shut,Mine,161430,2.237,2.24,0,0,0.0,Resource,"Indicated, Inferred",30/06/2015,21.5,15,245.7,156.2,-30.961438,121.248544,Black Mountain Gold Limited,Black Mountain Gold Limited; Northern Star Resources Ltd (100.00%); Northern Star (Klv) Pty Ltd; Northern Star (HBJ) Pty Ltd; Horizon Minerals Limited; Northern Star (South Kalgoorlie) Pty Ltd; Northern Star (Hampton Gold Mining Areas) Limited; Northern Star (Saracen Kalgoorlie) Pty Ltd,6,8
Dreadnought,Coolgardie,J00014,Operating,Mine,161172,3.33,1.51,0,0,0.0,Resource,"Indicated, Inferred",02/08/2023,14.3,15,237.8,149.6,-30.99508,121.170693,Focus Minerals Ltd,Focus Minerals Ltd (100.00%); Connected Minerals Limited (Royalties%); Horizon Minerals Limited,2,13
Hercules,Marvel Loch - Southern Cross,J00226,Shut,Mine,159371,2.49,1.99,64816,0.84,2.4,Resource,"Indicated, Inferred, Measured",31/12/2006,34.1,77,85.6,115.5,-31.533702,119.559712,Minjar Gold Pty Ltd,"Newcrest Mining Limited (Royalties%); Adelong Gold Limited (Royalties%); Minjar Gold Pty Ltd; Royal Gold, Inc. (Royalties%); Barto Gold Mining Pty Ltd (100.00%); Shandong Tianye Group Bid Co Pty Ltd; International Royalty Corporation (Royalties%)",3,13
Myhree,New Bulong - Kal East,J01837,Operating,Mine,159278,1.391,3.56,0,0,0.0,Resource,"Indicated, Inferred",09/10/2020,14.6,25,300.2,204.8,-30.729082,121.775318,Black Cat (Bulong) Pty Ltd,Black Cat (Bulong) Pty Ltd; Vox Royalty Australia Pty Ltd (Royalties%); Black Cat Syndicate Limited (100.00%); Black Cat (Kal East) Pty Ltd,4,13
CNX,Coolgardie,J00014,Operating,Mine,154565,3.866,1.24,0,0,0.0,Resource,"Indicated, Inferred, Measured",01/12/2023,16.9,15,241.2,157.9,-30.920509,121.191206,Focus Minerals Ltd,Focus Minerals Ltd (100.00%); Connected Minerals Limited (Royalties%); Horizon Minerals Limited,3,17
Jaccoletti - Mountain Queen,Marvel Loch - Southern Cross,J00226,Care and Maintenance,Mine,152967,1.15,4.14,111177,0.988,3.5,Resource,"Indicated, Inferred",25/07/2016,26.1,77,76.9,125.3,-31.473226,119.48411,Minjar Gold Pty Ltd,"Newcrest Mining Limited (Royalties%); Adelong Gold Limited (Royalties%); Minjar Gold Pty Ltd; Royal Gold, Inc. (Royalties%); Barto Gold Mining Pty Ltd (100.00%); Shandong Tianye Group Bid Co Pty Ltd; International Royalty Corporation (Royalties%)",2,8
Kanowna Consols,Kanowna -Golden Valley,J00181,Shut,Mine,152266,2.96,1.6,0,0,0.0,Resource,Inferred,30/06/2000,33.3,25,287.3,207.9,-30.594494,121.594209,Perilya Ltd,Perilya Ltd; Cove Mining NL; Northern Star Resources Ltd (100.00%); Northern Star (Klv) Pty Ltd (Royalties%); Northern Star (Kanowna) Pty Limited; Northern Star (Saracen Kalgoorlie) Pty Ltd (Royalties%),1,4
Paradigm,Carbine,J04549,Operating,Mine,150028,0.487,9.58,0,0,0.0,Resource,"Indicated, Inferred",30/06/2000,29.7,16,232.8,197.4,-30.474917,120.938312,Evolution Mining Limited,Evolution Mining Limited (100.00%); Kundana Gold Pty Limited,4,6
Lorna Doone,Randalls - Mt Monger,J00251,Shut,Mine,146993,2.286,2.0,0,0,0.0,Resource,"Indicated, Inferred",30/06/2021,36.4,25,309.4,190.1,-31.020742,121.933093,Vault Minerals Limited,Vault Minerals Limited (100.00%); Silver Lake (Integra) Pty Limited; Silver Lake Resources Ltd; Golden Mile Milling Pty Ltd,2,8
Mercury,Marvel Loch - Southern Cross,J00226,Shut,Mine,146286,1.3,3.5,146286,1.3,3.5,Reserve,Probable,31/03/1996,13.4,77,59.4,151.3,-31.277265,119.322318,Minjar Gold Pty Ltd,"Newcrest Mining Limited (Royalties%); Adelong Gold Limited (Royalties%); Minjar Gold Pty Ltd; Royal Gold, Inc. (Royalties%); Barto Gold Mining Pty Ltd (100.00%); Shandong Tianye Group Bid Co Pty Ltd; International Royalty Corporation (Royalties%)",1,1
Humpback,Bullabulling North,J01519,Undeveloped,Deposit,145189,3.481,1.3,0,0,0.0,Resource,"Indicated, Inferred, Measured",30/09/1998,17.0,15,215.3,154.8,-30.860356,120.898916,Beacon Minerals Limited,Beacon Minerals Limited (100.00%); Bulletin Resources Ltd (Royalties%); Coolgardie Minerals Limited; Beacon Mining Pty Ltd; Gekogold Pty Ltd (Royalties%); Geko Pit Pty Ltd (Royalties%); Geko Explore Pty Ltd,3,3
